DocumentTitle;Authors;AuthorAffiliations;PublicationTitle;DateAddedToXplore;PublicationYear;Volume;Issue;StartPage;EndPage;Abstract;ISSN;ISBNs;DOI;FundingInformation;PDFLink;AuthorKeywords;IEEETerms;INSPECControlled Terms;INSPECNon-ControlledTerms;Mesh_Terms;ArticleCitationCount;PatentCitationCount;ReferenceCount;License;OnlineDate;IssueDate;MeetingDate;Publisher;DocumentIdentifier
E -Xpert Bot -Guidance and Pest Detection for Smart Agriculture using AI;"P. Ramadoss; V. Ananth; M. Navaneetha; U. Oviya";"Department of Information Technology, K.S.Rangasamy College of Technology, Tamil Nadu, India; Department of Information Technology, K.S.Rangasamy College of Technology, Tamil Nadu, India; Department of Information Technology, K.S.Rangasamy College of Technology, Tamil Nadu, India; Department of Information Technology, K.S.Rangasamy College of Technology, Tamil Nadu, India";2023 IEEE 12th International Conference on Communication Systems and Network Technologies (CSNT);31.5.2023;2023;;;797;802;According to the Food and Agricultural Organization (FAO), the world population is expected to reach 9.73 billion by 2050, increasing the demand for agricultural needs proportionately. Artificial intelligence (AI) and machine learning (ML), which provide high productivity and accurate farming operations to meet the need for food, are being used in Smart Agriculture to replace traditional farming techniques. In recent years, experimenters in smart agriculture have drawn more attention. Anybody interested in farming would be able to strive towards results that are based on data-driven judgements with the correct advice, perceptivity, and Artificial Intelligence (AI) -powered perfection agricultural outputs. The first half of this paper examines how to provide users with accurate, useful, and automated results for substantiated backing and guidance based on the collected data in the users’ native tongue. An AI Chatbot operation with a user-friendly interface and the alternative section can do this. From the standpoint of ecological and environmental protection, a crop complaint and pest identification model based on deep learning is proposed in order to address the issues of numerous types of crop conditions and pests, quick prolixity speed, and time-consuming manual identification of conditions and pests.;2473-5655;978-1-6654-6261-7;10.1109/CSNT57126.2023.10134588;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10134588;"Chat-Bot;Agriculture;Smart Farming;Artificial Intelligence;Farming Industry";"Smart agriculture;Wireless networks;Sociology;Crops;Detectors;Chatbots;Artificial intelligence";"agriculture;artificial intelligence;chatbots;crops;deep learning (artificial intelligence);ecology;learning (artificial intelligence);pest control";"accurate automated results;accurate farming operations;Agricultural Organization;AI Chatbot operation;Artificial Intelligence -powered perfection agricultural outputs;machine learning;pest detection;smart agriculture;traditional farming techniques;useful, automated results";;;;8;IEEE;31.5.2023;;;IEEE;IEEE Conferences
Agriculture 4.0 from IoT, Artificial Intelligence, Drone, & Blockchain Perspectives;"A. N. JASIM; L. C. FOURATI";"Digital Research Center of Sfax (CRNS) Laboratory of Signals, systeMs, aRtificial Intelligence, neTworkS (SM@RTS), Sfax University, TUNISIA; Digital Research Center of Sfax (CRNS) Laboratory of Signals, systeMs, aRtificial Intelligence, neTworkS (SM@RTS), Sfax University, TUNISIA";2023 15th International Conference on Developments in eSystems Engineering (DeSE);17.4.2023;2023;;;262;267;Agriculture, encompassing industrialization, security, traceability, and sustainable resource management, is critical to the survival of humans. As resources dwindle, it is critical to develop strategies to assist in preserving agriculture. The development of the Internet of Things (IoT), Artificial intelligence, UAVs, and Blockchain technologies as new sectors has the potential to significantly improve the status of the Agricultural domain. In this context, this study does a comprehensive assessment of the literature to analyse the most recent breakthroughs in schemes that can innovate the agriculture domain. Following the determination of the fundamental needs in smart agriculture, several solutions and projects are highlighted. Furthermore, the present investigation will help in the identification of new avenues for future research related to the employment of AI, UAVs, and BC in agriculture.;;979-8-3503-3514-9;10.1109/DeSE58274.2023.10099927;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099927;"Drone;UAVs;Smart agriculture;Internet of Things (IoT);Blockchain technology;Security System;Artificial intelligence";"Smart agriculture;Blockchains;Internet of Things;Security;Resource management;Artificial intelligence;Smart devices";"agriculture;artificial intelligence;autonomous aerial vehicles;blockchains;Internet of Things";"Agriculture 4.0;agriculture domain;artificial intelligence;blockchain perspectives;blockchain technologies;Internet of Things;IoT;smart agriculture;sustainable resource management;UAV";;;;33;IEEE;17.4.2023;;;IEEE;IEEE Conferences
A Comprehensive Overview on Implementing IoT-AI Interface in Agriculture;"A. R. Reddy; M. Sirish Kumar; M. Shereesha; K. S. Raju; N. Tangudu; G. Nagendra Babu";"Mechanical Engineering, Hyderabad, India; School of Computing, Mohan Babu University, Tirupati, India; CSE, B V Raju Institute of Technology, Hyderabad, India; CSE, Hyderabad, Telangana, India; IT, Aditya Institute of Technology and Management, Tekkali, India; School of Computing, Mohan Babu University, Tirupati, India";2023 Second International Conference on Augmented Intelligence and Sustainable Systems (ICAISS);22.9.2023;2023;;;87;90;Internet of Things (IoT) connects technological devices through cloud databases and virtual network connectivity. The emerging new IoT apps that monitor, control, and coordinate agricultural and livestock production value chains are going to transform the agriculture industry. Despite the fact that there are various types of IoT systems for agriculture, no industry-wide standard for connecting numerous applications has yet to be proposed. This article discusses about the incorporation of Artificial Intelligence (AI) system and large cloud network in the agricultural value chain. AI and IoT technologies can develop a network of commercial agriculture network, which will increase the agricultural production and sustainability.;;979-8-3503-2579-9;10.1109/ICAISS58487.2023.10250697;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10250697;"Internet of Things;Artificial Intelligence (AI);agriculture;data management;sustainability";"Cloud computing;Databases;Production;Transforms;Agriculture;Internet of Things;Artificial intelligence";"agricultural products;agriculture;artificial intelligence;cloud computing;Internet of Things";"agricultural livestock production value chains;agricultural production;agricultural value chain;agriculture industry;cloud databases;cloud network;commercial agriculture network;industry-wide standard;IoT systems;IoT-AI interface;sustainability;technological devices;virtual network connectivity";;;;15;IEEE;22.9.2023;;;IEEE;IEEE Conferences
Development of AI Enabled Solution for Efficient Feature Enrichment from Multiple Data Sources: An Application in Precision Agriculture;"V. Singh; G. Singh";"Software Engineer Walmart Global Tech, India, Bangalore, India; Centre of Studies in Resources engineering, Indian Institute of Technology, Mumbai, India";2023 International Conference on Artificial Intelligence and Applications (ICAIA) Alliance Technology Conference (ATCON-1);6.7.2023;2023;;;1;4;The world is surrounded by enormous amount of data almost generated at an unpredictable velocity, in huge volume, variety and veracity. Our traditional systems, however have not yet reached a state where they can efficiently use every bit of this Big data and incorporate it to derive consistent information. Data Fusion is one such technique which can help us achieve this goal. It can be applied to various fields, however for the scope of this paper we have focused on its implementation in Precision Agriculture. While remote sensing has played a major role in precision agriculture by harnessing satellite data as a non-destructive way of information retrieval. The data collected from these satellite varies widely depending on the technique, spatial resolution, temporal resolution, spectral range, viewing geometry of the sensors, thus providing us different amounts of information for different use cases, some in which makes it quiet challenging for the researchers to harness all the information available to attain higher levels of precision, as high as to be able to classify at a sub pixel level while retaining the efficiency and feasibility of the solution. one of the major pain point in agriculture is monitoring large fields and gauging their crop density per square meter. While crop density of a field depends hugely of the soil quality, moisture, fertilizer percentage knowing crop density can have a great impact on yield prediction, sustainable fertilization and overall better through put of a field. Thus, in this paper we have explored the possibility of fusing data from different sensors using CNN based Data Fusion Algorithm to retrieve crop density and segregate patches of field as sparse or dense respectively. The results are quite encouraging.;;978-1-6654-5627-2;10.1109/ICAIA57370.2023.10169451;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169451;"Precision Agriculture;Data Fusion;Artificial Intelligence;Information Retrieval";"Training;Satellites;Data integration;Crops;Soil;Agriculture;Artificial intelligence";"agriculture;Big Data;crops;fertilisers;remote sensing;sensor fusion;soil";"AI enabled solution;Big data;consistent information;crop density;Data Fusion Algorithm;efficient feature enrichment;harness all the information;harnessing satellite data;information retrieval;multiple Data sources;precision agriculture;satellite varies;spatial resolution;temporal resolution;unpredictable velocity;veracity";;;;13;IEEE;6.7.2023;;;IEEE;IEEE Conferences
Artificial Intelligence and Internet of Things for Sustainable Farming and Smart Agriculture;"A. A. AlZubi; K. Galyna";"Computer Science Department, Community College, King Saud University, Riyadh, Saudi Arabia; Department of Water Supply and Sewage Systems, Rzeszow University of Technology, Rzeszow, Poland";IEEE Access;2.8.2023;2023;11;;78686;78692;Technologies like AI and IoT have been employed in farming for some time now, along with other forms of cutting-edge computer science. There has been a shift in recent years toward thinking about how to put this new technology to use. Agriculture has provided a large portion of humanity’s sustenance for thousands of years, with its most notable contribution being the widespread use of effective agricultural practices for several crop types. The advent of cutting-edge IoT know-how with the ability to monitor agricultural ecosystems and guarantee high-quality production is underway. Smart Sustainable Agriculture continues to face formidable hurdles due to the widespread dispersion of agricultural procedures, such as the deployment and administration of IoT and AI devices, the sharing of data and administration, interoperability, and the analysis and storage of enormous data quantities. This work initially analyses existing Internet-of-Things technologies used in Smart Sustainable Agriculture (SSA) to discover architectural components that might facilitate the development of SSA platforms. This paper examines the state of research and development in SSA, pays attention to the current form of information, and proposes an Internet of Things (IoT) and artificial intelligence (AI) framework as a starting point for SSA.;2169-3536;;10.1109/ACCESS.2023.3298215;"Researchers Supporting Project(grant numbers:RSP2023R395); King Saud University, Riyadh, Saudi Arabia; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190626;"Smart agriculture;Internet of Things (IoT);artificial intelligence (AI);smart sustainable agriculture (SSA);smart farming";"Smart agriculture;Crops;Artificial intelligence;Internet of Things;Farming;Monitoring;Soil;Internet of Things;Sustainable development";"agriculture;artificial intelligence;crops;ecology;edge computing;Internet of Things;open systems;research and development;sustainable development";"agricultural ecosystems;AI devices;artificial intelligence;crop types;cutting-edge computer science;high-quality production;Internet-of-Things technologies;interoperability;IoT;research and development;smart sustainable agriculture;SSA;sustainable farming";;;;19;CCBYNCND;24.7.2023;;;IEEE;IEEE Journals
Artificial Intelligence Role in Electronic Invoice Under Goods and Services Tax;"R. Kumar; R. K. Malholtra; R. Singh; S. Kathuria; R. Balyan; P. Pal";"Uttaranchal Institute of Management, Uttaranchal University, Dehradun, India; Deprtment of Commerce, Graphic era Deemed to be University, Dehrdun, India; Division of Research & Innovation, Uttaranchal University, Dehradun, India; LCD, Division of Research & Innovation, Uttaranchal University, Dehradun, India; Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; School of Agriculture, Uttaranchal University, Dehradun, India";2023 International Conference on Computational Intelligence, Communication Technology and Networking (CICTN);7.6.2023;2023;;;140;143;Deep learning, machine learning, and artificial intelligence are now widely used ideas. This. Legal and ethical considerations should also be considered while developing and deploying artificial intelligence technologies. New statistical and analytical tools that offer speed and simplicity are now available to tax professionals. AI can help with fraud identification, which will help with governmental oversight and control. This article focuses on a few GST features enabled by AI and offers recommendations for enhancing the current tools. The implementation of the good and service tax is the foundation of artificial competition. It lessens tax avoidance and increases transparency among entrepreneurs, common people, and customers. The pre-GST era saw a wide variety of taxation methods, the majority of which relied on physical labor. This study focused on the artificial aspects of electronic participation that facilitate straightforward procedures. Electronic Invoice is an important part which curd tax evasion. The study emphasized E- Invoice and highlighted future recommendations.;;979-8-3503-3802-7;10.1109/CICTN57981.2023.10140870;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10140870;"Artificial Intelligence;GST;Taxation;Assessment";"Deep learning;Ethics;Finance;QR codes;Communications technology;Fraud;Blockchains";"artificial intelligence;deep learning (artificial intelligence);fraud;invoicing;learning (artificial intelligence);taxation";"AI;analytical tools;artificial aspects;artificial competition;artificial intelligence role;artificial intelligence technologies;curd tax evasion;deep learning;Electronic Invoice;electronic Invoice;electronic participation;ethical considerations;fraud identification;good service tax;governmental oversight;GST features;increases transparency;legal considerations;machine learning;pre-GST era;tax avoidance;tax professionals";;;;17;IEEE;7.6.2023;;;IEEE;IEEE Conferences
The Role and Impact of Artificial Intelligence in Attaining Sustainability Goals;"R. Bhati; S. Mittal";"School of Business Studies, Sharda University, Gr. Noida, Uttar Pradesh; School of Business Studies, Sharda University, Gr. Noida, Uttar Pradesh";2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS);5.5.2023;2023;1;;2455;2458;Artificial intelligence is the primary force behind the present digital transition (AI). There is no denying that AI has tremendous potential to help both people and the environment. Almost in every aspect of life, from agricultural and forest ecosystems that have an impact on our whole planet to the health of every single person, AI can undoubtedly assist in identifying innovative answers to the most serious problems confronting our human civilization. This paper, emphasises a very distinct feature. Despite all its advantages, the widespread use of AI technology also carries a huge and unanticipated risk for brand-new, unexpected hazards. The adoption of trustworthy, ethical AI must be ensured by all parties concerned, and the incorrect use of AI technology must be avoided. To achieve this goal, it is essential to consciously ensure that AI systems always adhere to human values and promote a safe and secure society for all. This article explores some of the challenges associated with this objective and emphasizes the importance of prioritizing safety and security as fundamental concerns in two specific application domains: smart agriculture and smart health.;2575-7288;979-8-3503-9737-6;10.1109/ICACCS57279.2023.10112887;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112887;"Artificial intelligence;Digital transformation;Smart agriculture;Smart health;safety;AI risks";"Smart agriculture;Planets;Smart healthcare;Ecosystems;Forestry;Hazards;Security";"agriculture;artificial intelligence;ecology;ethical aspects;risk management;sustainable development";"agricultural forest ecosystems;AI systems;AI technology;artificial intelligence;attaining sustainability goals;digital transition;distinct feature;ethical AI;huge risk;human civilization;human values;innovative answers;primary force;single person;trustworthy AI;unanticipated risk;unexpected hazards";;;;22;IEEE;5.5.2023;;;IEEE;IEEE Conferences
Transforming Agriculture: Navigating the Challenges and Embracing the Opportunities of Artificial Intelligence of Things;"Y. M. Leong; E. H. Lim; N. F. B. Subri; N. B. A. Jalil";"Faculty of Computing and Engineering, Quest International University, Ipoh, Malaysia; Faculty of Computing and Engineering, Quest International University, Ipoh, Malaysia; Faculty of Information and Communication Technology, Universiti Tunku Abdul Rahman; Faculty of Information and Communication Technology, Universiti Tunku Abdul Rahman";2023 IEEE International Conference on Agrosystem Engineering, Technology & Applications (AGRETA);28.9.2023;2023;;;142;147;Agriculture faces significant challenges, including climate change, limited resources, and population growth, necessitating innovative solutions to ensure sustainable productivity and food security. Artificial Intelligence of Things (AIoT), a convergence of Al and IoT technologies, offers transformative potential for agriculture by optimizing resource utilization, improving production management, and reducing labor dependency. This paper presents an overview of AIoT applications in agriculture, highlighting its benefits, opportunities, and challenges. AIoT’s benefits include increased efficiency and productivity through automation, reduced labor dependency with AI-powered robots, improved decisionmaking by analyzing real-time data, and enhanced sustainability by optimizing resource use. Opportunities for AIoT in agriculture encompass precision farming, predictive analytics, autonomous farming, resource optimization, supply chain efficiency, and decision support systems. However, implementing AIoT in agriculture faces challenges such as data quality, connectivity, cost, privacy, and user adoption. Addressing these challenges is essential to harness AIoT’s potential fully. Future research directions include developing advanced Al algorithms, exploring edge computing, promoting interoperability and standards, and investigating AIoT’s role in climate resilience and resource management. Research should also focus on AIoT adoption and usability, social and ethical implications, and AIoT-based supply chain integration. AIoT offers the opportunity to revolutionize agriculture, address challenges and unlock opportunities for sustainable productivity and food security. By adopting AIoT technologies and following relevant research directions, the agricultural sector can overcome challenges and achieve a resilient and food-secure future.;;979-8-3503-4733-3;10.1109/AGRETA57740.2023.10262747;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262747;"Agriculture;Artificial Intelligence of Things (AIoT);Precision Farming;Sustainable Resource Management;Autonomous Farming";"Productivity;Supply chains;Food security;Agriculture;Internet of Things;Artificial intelligence;Sustainable development";"agricultural robots;agriculture;artificial intelligence;computer network security;control engineering computing;data analysis;data privacy;decision making;decision support systems;edge computing;food security;Internet of Things;open systems;production engineering computing;production management;supply chain management;sustainable development";"agriculture;AI-powered robots;AIoT technologies;AIoT-based supply chain integration;artificial Intelligence of Things;climate resilience;data analyzing;decision-making;edge computing;ethical implications;food security;IoT technologies;precision farming;production management;reduced labor dependency;resource management;sustainable productivity";;;;32;IEEE;28.9.2023;;;IEEE;IEEE Conferences
Development of a Pest Automatic Diagnosis System for Intelligent Agriculture Using Image Recognition;"C. -C. Song; W. -Z. Chen; H. -Y. Chen; Y. -K. Chen";"Department of Aeronautical Engineering, National Formosa University, Yulin, Taiwan; Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yulin, Taiwan; Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yulin, Taiwan; Department of Aeronautical Engineering, National Formosa University, Yulin, Taiwan";2023 International Technical Conference on Circuits/Systems, Computers, and Communications (ITC-CSCC);15.8.2023;2023;;;1;5;Nowadays, the intelligent agriculture is rapidly developing in most of the countries. In some advanced countries, both the research and development of agricultural-related technology and the application of innovative technology have actively been supported with the policies in the recent years. In this paper, the study on agricultural pest and disease diagnosis system is discussed and evaluated. The pest automatic diagnosis system platform is implemented and constructed with image recognition, artificial intelligence algorithm, and network monitoring system. By using image recognition on pest identification and scientific management can achieve the primary goal of intelligent prevention and precision monitoring in agriculture, whereas data analysis of farmland is fulfilled to provide farmers with data-based information, so that farmers can immediately understand the status of the farmland, such as weather conditions, spraying time, pest quantity, pest distribution, etc. Additionally, through the diagnosis and analysis of image recognition and AI algorithm, the grading and amount of variable pesticide spraying is determined to improve and enhance the control of pest and disease and to achieve the goal of reducing pesticide usage and environmental pollution;;979-8-3503-2641-3;10.1109/ITC-CSCC58803.2023.10212586;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212586;"Artificial intelligence;Intelligent agriculture;Image recognition;Pest Automatic Diagnosis System";"Smart agriculture;Image recognition;Databases;Spraying;Pesticides;Sensors;Servers";"agricultural pollution;agriculture;artificial intelligence;control engineering computing;data analysis;diseases;image enhancement;image recognition;pest control;pesticides";"advanced countries;agricultural pest;agricultural-related technology;AI algorithm;artificial intelligence algorithm;data analysis;data-based information;disease control;disease diagnosis system;environmental pollution;image recognition;innovative technology;intelligent agriculture;intelligent prevention;network monitoring system;pest automatic diagnosis system;pest control;pest identification;precision monitoring;scientific management";;;;8;IEEE;15.8.2023;;;IEEE;IEEE Conferences
AI Research Platform for Agriculture Sector : Agriculture Sector Bigdata Management and AI Model Development Platform;"K. -H. Kim; W. Seok; J. Moon; K. S. Kim; J. Sim";"Advanced KREONET Center, Korea Institute of Science and Technology Information (KISTI), Daejeon, Korea; Advanced Quantum KREONET Center, Korea Institute of Science and Technology Information (KISTI), Daejeon, Korea; Advanced KREONET Center, Korea Institute of Science and Technology Information (KISTI), Daejeon, Korea; Dept. of Agriculture, Forestry and Bioresources, Seoul National University, Seoul, Korea; Rural Development Administration, Jeonjoo, Korea";2023 24st Asia-Pacific Network Operations and Management Symposium (APNOMS);25.9.2023;2023;;;279;281;Agriculture is very directly connected to our lives. Because food is made using crops, it is the basis for people to live. By combining this important agricultural sector with artificial intelligence in the ICT field, we intend to establish the digitalization of agriculture. Recently, smart farm technology continues to develop, and it can provide various results such as future food production predictions. However, there is no platform for big data management and artificial intelligence research specialized in agriculture in Korea yet. To solve these problems, big data uses open data managed by the government, creates a platform that can perform artificial intelligence, and develops a platform that is provided to agricultural researchers. Through the development of this research platform, agricultural big data management and artificial intelligence researchers intend to use it easily to contribute to the improvement of technology in the smart farm field.;2576-8565;978-89-950043-9-5;;"Technology Development; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10258235;"component;formatting;style;styling;insert (key words)";"Smart agriculture;Crops;Production;Big Data;Soil;Predictive models;Data models";"agriculture;artificial intelligence;Big Data;crops;food products";"agricultural big data management;agricultural researchers;agriculture sector;AI research platform;artificial intelligence research;artificial intelligence researchers;big data uses open data;future food production predictions;important agricultural sector;smart farm field;smart farm technology";;;;7;;25.9.2023;;;IEEE;IEEE Conferences
